Card Name,Card Number,Suit,Deck Type,Description
Two of Swords,2,Swords,Thoth Tarot,A card representing decision-making, balance, and weighing options.
Three of Swords,3,Swords,Thoth Tarot,A card symbolizing heartbreak, sorrow, and the need for healing.
Four of Swords,4,Swords,Thoth Tarot,A card embodying rest, contemplation, and the restoration of mental energy.
Five of Swords,5,Swords,Thoth Tarot,A card representing conflict, manipulation, and the need for self-protection.
Six of Swords,6,Swords,Thoth Tarot,A card symbolizing transition, moving away from difficulties, and seeking mental clarity.
Seven of Swords,7,Swords,Thoth Tarot,A card embodying deceit, trickery, and strategizing for personal gain.
Eight of Swords,8,Swords,Thoth Tarot,A card representing restriction, self-imposed limitations, and the need for liberation.
Nine of Swords,9,Swords,Thoth Tarot,A card symbolizing anxiety, worry, and the influence of fear on thoughts.
Ten of Swords,10,Swords,Thoth Tarot,A card embodying pain, betrayal, and the need for acceptance to move forward.
Princess of Swords,Page,Swords,Thoth Tarot,A card signifying intellectual curiosity, communication, and the pursuit of knowledge.
Prince of Swords,Knight,Swords,Thoth Tarot,A card representing assertiveness, logic, and the pursuit of truth.
Queen of Swords,Queen,Swords,Thoth Tarot,A card embodying intellect, clear communication, and inner strength in the realm of thoughts.
Prince of Swords,King,Swords,Thoth Tarot,A card symbolizing intellectual authority, strategic thinking, and the power of reason.
Ace of Pentacles,Ace,Pentacles,Thoth Tarot,A card signifying material abundance, prosperity, and new opportunities.
Two of Pentacles,2,Pentacles,Thoth Tarot,A card representing balance, adaptability, and the management of resources.
Three of Pentacles,3,Pentacles,Thoth Tarot,A card symbolizing skilled workmanship, collaboration, and the pursuit of excellence.
Four of Pentacles,4,Pentacles,Thoth Tarot,A card embodying material security, possessiveness, and the need for moderation.
Five of Pentacles,5,Pentacles,Thoth Tarot,A card representing financial hardship, isolation, and the need for support.
Six of Pentacles,6,Pentacles,Thoth Tarot,A card symbolizing generosity, charity, and the flow of material abundance.
Seven of Pentacles,7,Pentacles,Thoth Tarot,A card embodying patience, perseverance, and the reward of hard work.
Eight of Pentacles,8,Pentacles,Thoth Tarot,A card representing skill development, craftsmanship, and dedication to work.
Nine of Pentacles,9,Pentacles,Thoth Tarot,A card symbolizing self-sufficiency, luxury, and the enjoyment of material comforts.
Ten of Pentacles,10,Pentacles,Thoth Tarot,A card embodying wealth, legacy, and the fulfillment of material abundance within family and community.
Princess of Pentacles,Page,Pentacles,Thoth Tarot,A card signifying practicality, growth, and the manifestation of ideas in the material realm.
Prince of Pentacles,Knight,Pentacles,Thoth Tarot,A card representing ambition, reliability, and the pursuit of long-term stability.
Queen of Pentacles,Queenof Pentacles,Queen,Pentacles,Thoth Tarot,A card embodying practicality, abundance, and nurturing qualities in the material realm.
Prince of Pentacles,King,Pentacles,Thoth Tarot,A card symbolizing wealth, mastery, and the responsible use of resources.
